date,open,high,low,close,Volume BTC,Volume USDT
8/20/2017 16:00,4125,4150,4091.59,4131.46,23.1,95236.86
8/20/2017 17:00,4131.46,4138.07,4101.4,4129,49.22,202834.01
8/20/2017 18:00,4129,4158.61,4116,4154.56,48.09,198738.21
8/20/2017 19:00,4154.56,4185.94,4144.85,4164.6,48.31,201272.01
8/20/2017 20:00,4164.6,4171.62,4116,4140.93,53.23,220263.55
8/20/2017 21:00,4140.93,4156.56,4128.75,4150,35.73,147963.48
8/20/2017 22:00,4150,4169.98,4132.31,4169.98,37.65,156415.41
8/20/2017 23:00,4169.98,4171.62,4069.13,4086.29,69.48,287026.99
8/21/2017 0:00,4086.29,4119.62,4062.78,4108.28,52.76,215910.06
8/21/2017 1:00,4108.28,4114.86,4080.66,4094.6,55.97,229146.59
8/21/2017 2:00,4094.6,4109.26,4039,4079.94,58.64,238646.78
8/21/2017 3:00,4079.94,4104.68,4048.74,4084.76,52.8,215192.15
8/21/2017 4:00,4084.76,4104.68,4047.75,4104.68,39.49,161090
8/21/2017 5:00,4104.68,4104.68,4011.02,4016.9,66.79,270472.59
8/21/2017 6:00,4016.9,4032.01,3953.4,3982.96,66.49,265785.06
8/21/2017 7:00,3982.96,4055.92,3970.63,4043.63,49.19,197915.55
8/21/2017 8:00,4043.63,4055.92,4010.78,4036.3,54.73,220805.54
8/21/2017 9:00,4036.3,4077.07,4035.82,4074,3.89,15774.01
8/21/2017 10:00,4074,4088.12,4066,4088.1,5.09,20748.78
8/21/2017 11:00,4088.1,4088.1,4000.01,4023.11,12.01,48349.59
8/21/2017 12:00,4023.11,4023.11,4000,4000,6.46,25904.4
8/21/2017 13:00,4000,4023.11,3934.43,3951.49,22.09,87954.94
8/21/2017 14:00,3951.49,4023.11,3911.79,3989.17,7.37,29130.15
8/21/2017 15:00,3989.17,4022,3920.55,4022,7.36,29516.9
8/21/2017 16:00,4022,4029.05,3951.26,4029.05,7.32,29255.73
8/21/2017 17:00,4029.05,4029.06,3951.26,4016.2,5.07,20279.25
8/21/2017 18:00,4016.2,4029.06,3918.8,3918.8,3.76,14961.74
8/21/2017 19:00,3918.8,4042.11,3918.8,4027.05,8.05,32340.39
8/21/2017 20:00,4027.05,4042.11,3950,4025.04,31,124680.48
8/21/2017 21:00,4025.04,4070.49,4007.51,4039.1,39.36,158477.26
8/21/2017 22:00,4039.1,4041.23,4008.63,4041.1,18.66,75144.78
8/21/2017 23:00,4041.1,4041.1,3987.5,4016,10.76,43109.35
8/22/2017 0:00,4016,4016,3789.95,3790,59.06,232104.98
8/22/2017 1:00,3790,3890.51,3688.97,3700,27.72,103817.75
8/22/2017 2:00,3700,3849.98,3689,3849.98,8.33,31846.37
8/22/2017 3:00,3849.98,3862.39,3802.53,3862.39,15.89,61001.83
8/22/2017 4:00,3862.39,3868.57,3450.98,3500.8,28.22,104276.67
8/22/2017 5:00,3500.8,3695.62,3400,3626.99,14.32,50315.1
8/22/2017 6:00,3626.99,3854.46,3619.95,3803,54.58,207669.07
8/22/2017 7:00,3803,3803,3733.8,3798.08,61.64,233056.82
8/22/2017 8:00,3798.08,3805.76,3750.08,3794.12,36.22,137109.42
